GCF_000001985.1	Talaromyces marneffei ATCC 18224
GCF_000007125.1	Brucella melitensis bv. 1 str. 16M
GCF_000007145.1	Xanthomonas campestris pv. campestris str. ATCC 33913
GCF_000007265.1	Streptococcus agalactiae 2603V/R
GCF_000007305.1	Pyrococcus furiosus DSM 3638
GCF_000007325.1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
GCF_000007345.1	Methanosarcina acetivorans C2A
GCF_000007365.1	Buchnera aphidicola str. Sg (Schizaphis graminum)
GCF_000007385.1	Xanthomonas oryzae pv. oryzae KACC 10331
GCF_000007465.2	Streptococcus mutans UA159
GCF_000007485.1	Tropheryma whipplei str. Twist
GCF_000007525.1	Bifidobacterium longum NCC2705
GCF_000007565.2	Pseudomonas putida KT2440
GCF_000007605.1	Chlamydophila caviae GPIC
GCF_000007625.1	Clostridium tetani E88
GCF_000007645.1	Staphylococcus epidermidis ATCC 12228
GCF_000007705.1	Chromobacterium violaceum ATCC 12472
GCF_000007725.1	Buchnera aphidicola str. Bp (Baizongia pistaciae)
GCF_000007745.1	Mannheimia succiniciproducens MBEL55E
GCF_000007765.1	Coxiella burnetii RSA 493
GCF_000007765.2	Coxiella burnetii RSA 493
GCF_000007785.1	Enterococcus faecalis V583
GCF_000007805.1	Pseudomonas syringae pv. tomato str. DC3000
GCF_000007825.1	Bacillus cereus ATCC 14579
GCF_000007845.1	Bacillus anthracis str. Ames
GCF_000007865.1	Mycobacterium avium subsp. paratuberculosis K-10
GCF_000007905.1	Helicobacter hepaticus ATCC 51449
GCF_000007925.1	Prochlorococcus marinus subsp. marinus str. CCMP1375
GCF_000007945.1	Haemophilus ducreyi 35000HP
GCF_000007985.2	Geobacter sulfurreducens PCA
GCF_000008025.1	Wolbachia endosymbiont of Drosophila melanogaster
GCF_000008045.1	Rickettsia typhi str. Wilmington
GCF_000008165.1	Bacillus anthracis str. Sterne
GCF_000008185.1	Treponema denticola ATCC 35405
GCF_000008205.1	Mycoplasma hyopneumoniae J
GCF_000008265.1	Picrophilus torridus DSM 9790
GCF_000008305.1	Mesoplasma florum L1
GCF_000008325.1	Methylococcus capsulatus str. Bath
GCF_000008345.1	Propionibacterium acnes KPA171202
GCF_000008365.1	Mycoplasma mobile 163K
GCF_000008385.1	Wolbachia endosymbiont strain TRS of Brugia malayi
GCF_000008465.1	Idiomarina loihiensis L2TR
GCF_000008485.1	Legionella pneumophila subsp. pneumophila str. Philadelphia 1
GCF_000008505.1	[Bacillus thuringiensis] serovar konkukian str. 97-27
GCF_000008525.1	Helicobacter pylori 26695
GCF_000008545.1	Thermotoga maritima MSB8
GCF_000008565.1	Deinococcus radiodurans R1
GCF_000008605.1	Treponema pallidum subsp. pallidum str. Nichols
GCF_000008625.1	Aquifex aeolicus VF5
GCF_000008645.1	Methanothermobacter thermautotrophicus str. Delta H
GCF_000008665.1	Archaeoglobus fulgidus DSM 4304
GCF_000008685.2	Borrelia burgdorferi B31
GCF_000008725.1	Chlamydia trachomatis D/UW-3/CX
GCF_000008745.1	Chlamydophila pneumoniae CWL029
GCF_000008765.1	Clostridium acetobutylicum ATCC 824
GCF_000008805.1	Neisseria meningitidis MC58
GCF_000008865.1	Escherichia coli O157:H7 str. Sakai
GCF_000008885.1	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis
GCF_000008925.1	Lactobacillus salivarius UCC118
GCF_000008985.1	Francisella tularensis subsp. tularensis SCHU S4
GCF_000009045.1	Bacillus subtilis subsp. subtilis str. 168
GCF_000009065.1	Yersinia pestis CO92
GCF_000009085.1	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
GCF_000009125.1	Ralstonia solanacearum GMI1000
GCF_000009145.1	Nitrosomonas europaea ATCC 19718
GCF_000009205.1	Unconfirmed Organism: Clostridioides difficile 630
GCF_000009305.1	Helicobacter acinonychis str. Sheeba
GCF_000009345.1	Yersinia enterocolitica subsp. enterocolitica 8081
GCF_000009365.1	Alcanivorax borkumensis SK2
GCF_000009545.1	Streptococcus uberis 0140J
GCF_000009605.1	Buchnera aphidicola str. APS (Acyrthosiphon pisum)
GCF_000009705.1	Nostoc sp. PCC 7120
GCF_000009725.1	Synechocystis sp. PCC 6803
GCF_000009745.1	Vibrio vulnificus YJ016
GCF_000009765.2	Streptomyces avermitilis MA-4680 = NBRC 14893
GCF_000009825.1	Bacillus clausii KSM-K16
GCF_000009845.1	Onion yellows phytoplasma OY-M
GCF_000009865.1	Staphylococcus haemolyticus JCSC1435
GCF_000009905.1	Symbiobacterium thermophilum IAM 14863
GCF_000009925.1	Bacteroides fragilis YCH46
GCF_000009945.1	Chlamydia felis Fe/C-56
GCF_000009965.1	Thermococcus kodakarensis KOD1
GCF_000009985.1	Magnetospirillum magneticum AMB-1
GCF_000010065.1	Synechococcus elongatus PCC 6301
GCF_000010085.1	Sodalis glossinidius str. 'morsitans'
GCF_000010125.1	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305
GCF_000010145.1	Lactobacillus fermentum IFO 3956
GCF_000010165.1	Brevibacillus brevis NBRC 100599
GCF_000010185.1	Finegoldia magna ATCC 29328
GCF_000010285.1	Kocuria rhizophila DC2201
GCF_000010305.1	Gemmatimonas aurantiaca T-27
GCF_000010325.1	Nitratiruptor sp. SB155-2
GCF_000010405.1	Candidatus Vesicomyosocius okutanii HA
GCF_000010425.1	Bifidobacterium adolescentis ATCC 15703
GCF_000010505.1	Porphyromonas gingivalis ATCC 33277
GCF_000010525.1	Azorhizobium caulinodans ORS 571
GCF_000010585.1	Macrococcus caseolyticus JCSC5402
GCF_000010605.1	Streptomyces griseus subsp. griseus NBRC 13350
GCF_000010625.1	Microcystis aeruginosa NIES-843
GCF_000010645.1	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2
GCF_000010665.1	Desulfovibrio magneticus RS-1
GCF_000010785.1	Hydrogenobacter thermophilus TK-6
GCF_000010825.1	Acetobacter pasteurianus IFO 3283-01
GCF_000010985.1	Deferribacter desulfuricans SSM1
GCF_000011025.1	Rothia mucilaginosa DY-18
GCF_000011065.1	Bacteroides thetaiotaomicron VPI-5482
GCF_000011105.1	Pyrococcus horikoshii OT3
GCF_000011185.1	Thermoplasma volcanium GSS1
GCF_000011205.1	Sulfolobus tokodaii str. 7
GCF_000011225.1	Mycoplasma penetrans HF-2
GCF_000011245.1	Oceanobacillus iheyensis HTE831
GCF_000011305.1	Corynebacterium efficiens YS-314
GCF_000011325.1	Corynebacterium glutamicum ATCC 13032
GCF_000011345.1	Thermosynechococcus elongatus BP-1
GCF_000011365.1	Bradyrhizobium diazoefficiens USDA 110
GCF_000011385.1	Gloeobacter violaceus PCC 7421
GCF_000011445.1	Mycoplasma mycoides subsp. mycoides SC str. PG1
GCF_000011465.1	Prochlorococcus marinus subsp. pastoris str. CCMP1986
GCF_000011485.1	Prochlorococcus marinus str. MIT 9313
GCF_000011545.1	Burkholderia pseudomallei K96243
GCF_000011565.1	Candidatus Protochlamydia amoebophila UWE25
GCF_000011645.1	Bacillus licheniformis DSM 13 = ATCC 14580
GCF_000011685.1	Gluconobacter oxydans 621H
GCF_000011705.1	Burkholderia mallei ATCC 23344
GCF_000011745.1	Candidatus Blochmannia pennsylvanicus str. BPEN
GCF_000011805.1	Vibrio fischeri ES114
GCF_000011905.1	Dehalococcoides mccartyi 195
GCF_000011965.2	Ruegeria pomeroyi DSS-3
GCF_000011985.1	Lactobacillus acidophilus NCFM
GCF_000012005.1	Shigella dysenteriae Sd197
GCF_000012065.2	Borrelia hermsii DAH
GCF_000012085.2	Borrelia turicatae 91E135
GCF_000012145.1	Rickettsia felis URRWXCal2
GCF_000012225.1	Aster yellows witches'-broom phytoplasma AYWB
GCF_000012245.1	Pseudomonas syringae pv. syringae B728a
GCF_000012285.1	Sulfolobus acidocaldarius DSM 639
GCF_000012305.1	Psychrobacter arcticus 273-4
GCF_000012325.1	Colwellia psychrerythraea 34H
GCF_000012345.1	Candidatus Pelagibacter ubique HTCC1062
GCF_000012385.1	Rickettsia bellii RML369-C
GCF_000012405.1	Thermobifida fusca YX
GCF_000012425.1	Dechloromonas aromatica RCB
GCF_000012465.1	Prochlorococcus marinus str. NATL2A
GCF_000012485.1	Chlorobium luteolum DSM 273
GCF_000012505.1	Synechococcus sp. CC9902
GCF_000012545.1	Methanosphaera stadtmanae DSM 3091
GCF_000012565.1	Ehrlichia canis str. Jake
GCF_000012585.1	Chlorobium chlorochromatii CaD3
GCF_000012605.1	Hydrogenovibrio crunogenus XCL-2
GCF_000012645.1	Prochlorococcus marinus str. MIT 9312
GCF_000012665.1	Desulfovibrio alaskensis G20
GCF_000012685.1	Myxococcus xanthus DK 1622
GCF_000012725.1	Nitrobacter winogradskyi Nb-255
GCF_000012745.1	Thiobacillus denitrificans ATCC 25259
GCF_000012765.1	Mycoplasma capricolum subsp. capricolum ATCC 27343
GCF_000012805.1	Nitrosococcus oceani ATCC 19707
GCF_000012825.1	Bacteroides vulgatus ATCC 8482
GCF_000012845.1	Parabacteroides distasonis ATCC 8503
GCF_000012865.1	Carboxydothermus hydrogenoformans Z-2901
GCF_000012885.1	Pelobacter carbinolicus DSM 2380
GCF_000012905.2	Rhodobacter sphaeroides 2.4.1
GCF_000012925.1	Geobacter metallireducens GS-15
GCF_000012965.1	Sulfurimonas denitrificans DSM 1251
GCF_000012985.1	Hahella chejuensis KCTC 2396
GCF_000013005.1	Erythrobacter litoralis HTCC2594
GCF_000013025.1	Hyphomonas neptunium ATCC 15444
GCF_000013045.1	Salinibacter ruber DSM 13855
GCF_000013085.1	Rhodospirillum rubrum ATCC 11170
GCF_000013105.1	Moorella thermoacetica ATCC 39073
GCF_000013125.1	Anaplasma phagocytophilum str. HZ
GCF_000013145.1	Ehrlichia chaffeensis str. Arkansas
GCF_000013165.1	Neorickettsia sennetsu str. Miyayama
GCF_000013185.1	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)
GCF_000013205.1	Synechococcus sp. JA-3-3Ab
GCF_000013225.1	Synechococcus sp. JA-2-3B'a(2-13)
GCF_000013285.1	Clostridium perfringens ATCC 13124
GCF_000013325.1	Novosphingobium aromaticivorans DSM 12444
GCF_000013345.1	Frankia casuarinae
GCF_000013365.1	Rhodopseudomonas palustris HaA2
GCF_000013405.1	Syntrophus aciditrophicus SB
GCF_000013425.1	Staphylococcus aureus subsp. aureus NCTC 8325
GCF_000013445.1	Methanospirillum hungatei JF-1
GCF_000013565.1	Jannaschia sp. CCS1
GCF_000013605.1	Rhodoferax ferrireducens T118
GCF_000013625.1	Janthinobacterium sp. Marseille
GCF_000013645.1	Paraburkholderia xenovorans LB400
GCF_000013665.1	Saccharophagus degradans 2-40
GCF_000013705.1	Methylobacillus flagellatus KT
GCF_000013725.1	Methanococcoides burtonii DSM 6242
GCF_000013745.1	Rhodopseudomonas palustris BisB18
GCF_000013765.1	Shewanella denitrificans OS217
GCF_000013865.1	Polaromonas sp. JS666
GCF_000013885.1	Nitrobacter hamburgensis X14
GCF_000013945.1	Leptospira borgpetersenii serovar Hardjo-bovis str. L550
GCF_000013985.1	Sphingopyxis alaskensis RB2256
GCF_000014005.1	Candidatus Koribacter versatilis Ellin345
GCF_000014025.1	Arcobacter butzleri RM4018
GCF_000014045.1	Roseobacter denitrificans OCh 114
GCF_000014125.1	Clostridium novyi NT
GCF_000014145.1	Cytophaga hutchinsonii ATCC 33406
GCF_000014185.1	Rubrobacter xylanophilus DSM 9941
GCF_000014205.1	Streptococcus sanguinis SK36
GCF_000014225.1	Pseudoalteromonas atlantica T6c
GCF_000014245.1	Chelativorans sp. BNC1
GCF_000014265.1	Trichodesmium erythraeum IMS101
GCF_000014285.1	Granulibacter bethesdensis CGDNIH1
GCF_000014345.1	Rickettsia canadensis str. McKiel
GCF_000014385.1	Oenococcus oeni PSU-1
GCF_000014425.1	Lactobacillus gasseri ATCC 33323 = JCM 1131
GCF_000014445.1	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293
GCF_000014465.1	Lactobacillus brevis ATCC 367
GCF_000014505.1	Pediococcus pentosaceus ATCC 25745
GCF_000014525.1	Lactobacillus paracasei ATCC 334
GCF_000014565.1	Rhodococcus jostii RHA1
GCF_000014585.1	Synechococcus sp. CC9311
GCF_000014705.1	Shewanella frigidimarina NCIMB 400
GCF_000014725.1	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
GCF_000014745.1	Maricaulis maris MCS10
GCF_000014765.1	Nitrosomonas eutropha C91
GCF_000014785.1	Alkalilimnicola ehrlichii MLHE-1
GCF_000014805.1	Aeromonas hydrophila subsp. hydrophila ATCC 7966
GCF_000014825.1	Rhodopseudomonas palustris BisA53
GCF_000014865.1	Magnetococcus marinus MC-1
GCF_000014885.1	Shewanella piezotolerans WP3
GCF_000014905.1	Candidatus Solibacter usitatus Ellin6076
GCF_000014925.1	Paenarthrobacter aurescens TC1
GCF_000014965.1	Syntrophobacter fumaroxidans MPOB
GCF_000015005.1	Mycobacterium smegmatis str. MC2 155
GCF_000015025.1	Acidothermus cellulolyticus 11B
GCF_000015045.1	Pelobacter propionicus DSM 2379
GCF_000015105.1	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)
GCF_000015125.1	Chlorobium phaeobacteroides DSM 266
GCF_000015145.1	Hyperthermus butylicus DSM 5456
GCF_000015205.1	Pyrobaculum islandicum DSM 4184
GCF_000015225.1	Thermofilum pendens Hrk 5
GCF_000015245.1	Shewanella amazonensis SB2B
GCF_000015265.1	Nocardioides sp. JS614
GCF_000015285.1	Psychromonas ingrahamii 37
GCF_000015305.1	Mycobacterium vanbaalenii PYR-1
GCF_000015345.1	Dichelobacter nodosus VCS1703A
GCF_000015405.1	Mycobacterium sp. KMS
GCF_000015445.1	Bartonella bacilliformis KC583
GCF_000015505.1	Polaromonas naphthalenivorans CJ2
GCF_000015565.1	Verminephrobacter eiseniae EF01-2
GCF_000015585.1	Halorhodospira halophila SL1
GCF_000015645.1	Prochlorococcus marinus str. AS9601
GCF_000015665.1	Prochlorococcus marinus str. MIT 9515
GCF_000015725.1	Methylibium petroleiphilum PM1
GCF_000015745.1	Geobacillus thermodenitrificans NG80-2
GCF_000015765.1	Methanocorpusculum labreanum Z
GCF_000015825.1	Methanoculleus marisnigri JR1
GCF_000015865.1	Ruminiclostridium thermocellum ATCC 27405
GCF_000015885.1	Actinobacillus pleuropneumoniae serovar 5b str. L20
GCF_000015945.1	Staphylothermus marinus F1
GCF_000015965.1	Prochlorococcus marinus str. MIT 9301
GCF_000016065.1	Shewanella loihica PV-4
GCF_000016085.1	Chlorobium phaeovibrioides DSM 265
GCF_000016165.1	Desulfotomaculum reducens MI-1
GCF_000016185.1	Rhodospirillum centenum SW
GCF_000016285.1	Agrobacterium vitis S4
GCF_000016325.1	Enterobacter sp. 638
GCF_000016345.1	Polynucleobacter asymbioticus QLW-P1DMWA-1
GCF_000016405.1	Rhodobacter sphaeroides ATCC 17025
GCF_000016425.1	Salinispora tropica CNB-440
GCF_000016505.1	Clostridium kluyveri DSM 555
GCF_000016525.1	Methanobrevibacter smithii ATCC 35061
GCF_000016545.1	Caldicellulosiruptor saccharolyticus DSM 8903
GCF_000016565.1	Pseudomonas mendocina ymp
GCF_000016605.1	Metallosphaera sedula DSM 5348
GCF_000016645.1	Flavobacterium johnsoniae UW101
GCF_000016665.1	Roseiflexus sp. RS-1
GCF_000016745.1	Geobacter uraniireducens Rf4
GCF_000016765.1	Sphingomonas wittichii RW1
GCF_000016785.1	Thermotoga petrophila RKU-1
GCF_000016825.1	Lactobacillus reuteri DSM 20016
GCF_000016905.1	Thermosipho melanesiensis BI429
GCF_000016985.1	Alkaliphilus metalliredigens QYMF
GCF_000017005.1	Streptococcus gordonii str. Challis substr. CH1
GCF_000017045.1	Clostridium botulinum A str. Hall
GCF_000017105.1	Coxiella burnetii Dugway 5J108-111
GCF_000017145.1	Sinorhizobium medicae WSM419
GCF_000017165.1	Methanococcus vannielii SB
GCF_000017185.1	Methanococcus aeolicus Nankai-3
GCF_000017225.1	Methanococcus maripaludis C7
GCF_000017245.1	Actinobacillus succinogenes 130Z
GCF_000017265.1	Phenylobacterium zucineum HLK1
GCF_000017305.1	Kineococcus radiotolerans SRS30216 = ATCC BAA-149
GCF_000017405.1	Ochrobactrum anthropi ATCC 49188
GCF_000017425.1	Bacillus cytotoxicus NVH 391-98
GCF_000017465.2	Campylobacter curvus 525.92
GCF_000017505.1	Anaeromyxobacter sp. Fw109-5
GCF_000017545.1	Fervidobacterium nodosum Rt17-B1
GCF_000017565.1	Parvibaculum lavamentivorans DS-1
GCF_000017585.1	Campylobacter hominis ATCC BAA-381
GCF_000017625.1	Methanoregula boonei 6A8
GCF_000017645.1	Xanthobacter autotrophicus Py2
GCF_000017685.1	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'
GCF_000017705.1	Vibrio campbellii ATCC BAA-1116
GCF_000017805.1	Roseiflexus castenholzii DSM 13941
GCF_000017845.1	Cyanothece sp. ATCC 51142
GCF_000017865.1	Pseudothermotoga lettingae TMO
GCF_000017945.1	Ignicoccus hospitalis KIN4/I
GCF_000018025.1	Shewanella sediminis HAW-EB3
GCF_000018105.1	Acaryochloris marina MBIC11017
GCF_000018145.1	Dinoroseobacter shibae DFL 12 = DSM 16493
GCF_000018205.1	Rickettsia akari str. Hartford
GCF_000018265.1	Salinispora arenicola CNS-205
GCF_000018285.1	Shewanella pealeana ATCC 700345
GCF_000018305.1	Caldivirga maquilingensis IC-167
GCF_000018325.1	Alkaliphilus oremlandii OhILAs
GCF_000018365.1	Thermococcus onnurineus NA1
GCF_000018405.1	Desulfococcus oleovorans Hxd3
GCF_000018425.1	Candidatus Desulforudis audaxviator MP104C
GCF_000018545.1	Sinorhizobium fredii NGR234
GCF_000018605.1	Petrotoga mobilis SJ95
GCF_000018665.1	Delftia acidovorans SPH-1
GCF_000018685.1	Lachnoclostridium phytofermentans ISDg
GCF_000018785.1	Acholeplasma laidlawii PG-8A
GCF_000018865.1	Chloroflexus aurantiacus J-10-fl
GCF_000018885.1	Renibacterium salmoninarum ATCC 33209
GCF_000018945.1	Thermotoga neapolitana DSM 4359
GCF_000019165.1	Heliobacterium modesticaldum Ice1
GCF_000019205.1	Campylobacter lari RM2100
GCF_000019225.1	Cellvibrio japonicus Ueda107
GCF_000019285.1	Francisella philomiragia subsp. philomiragia ATCC 25017
GCF_000019345.1	Ureaplasma parvum serovar 3 str. ATCC 27815
GCF_000019365.1	Methylobacterium sp. 4-46
GCF_000019405.1	Haemophilus somnus 2336
GCF_000019485.1	Synechococcus sp. PCC 7002
GCF_000019525.1	Shewanella woodyi ATCC 51908
GCF_000019605.1	Candidatus Korarchaeum cryptofilum OPF8
GCF_000019665.1	Methylacidiphilum infernorum V4
GCF_000019685.1	Borrelia duttonii Ly
GCF_000019725.1	Methylobacterium radiotolerans JCM 2831
GCF_000019745.1	Polynucleobacter necessarius STIR1
GCF_000019785.1	Leptothrix cholodnii SP-6
GCF_000019845.1	Beijerinckia indica subsp. indica ATCC 9039
GCF_000019905.1	Exiguobacterium sibiricum 255-15
GCF_000019945.1	Methylobacterium populi BJ001
GCF_000019965.1	Opitutus terrae PB90-1
GCF_000020005.1	Natranaerobius thermophilus JW/NM-WN-LF
GCF_000020025.1	Nostoc punctiforme PCC 73102
GCF_000020045.1	Paraburkholderia phymatum STM815
GCF_000020065.1	Mycoplasma arthritidis 158L3-1
GCF_000020145.1	Elusimicrobium minutum Pei191
GCF_000020165.1	Clostridium botulinum B str. Eklund 17B (NRP)
GCF_000020205.1	Ralstonia pickettii 12J
GCF_000020225.1	Akkermansia muciniphila ATCC BAA-835
GCF_000020305.1	Anaplasma marginale str. Florida
GCF_000020365.1	Desulfobacterium autotrophicum HRM2
GCF_000020385.1	Geobacter lovleyi SZ
GCF_000020465.1	Chlorobium limicola DSM 245
GCF_000020485.1	Halothermothrix orenii H 168
GCF_000020505.1	Chlorobaculum parvum NCIB 8327
GCF_000020525.1	Chloroherpeton thalassium ATCC 35110
GCF_000020545.1	Chlorobium phaeobacteroides BS1
GCF_000020565.1	Candidatus Amoebophilus asiaticus 5a2
GCF_000020605.1	[Eubacterium] rectale ATCC 33656
GCF_000020625.1	Prosthecochloris aestuarii DSM 271
GCF_000020645.1	Pelodictyon phaeoclathratiforme BU-1
GCF_000020685.1	Deinococcus deserti VCD115
GCF_000020725.1	Geobacter bemidjiensis Bem
GCF_000020785.1	Hydrogenobaculum sp. Y04AAS1
GCF_000020905.1	Desulfurococcus amylolyticus 1221n
GCF_000020945.1	Coprothermobacter proteolyticus DSM 5265
GCF_000020965.1	Dictyoglomus thermophilum H-6-12
GCF_000020985.1	Thermodesulfovibrio yellowstonii DSM 11347
GCF_000021025.1	Laribacter hongkongensis HLHK9
GCF_000021045.1	Azotobacter vinelandii DJ
GCF_000021285.1	Thermosipho africanus TCF52B
GCF_000021325.1	Gluconacetobacter diazotrophicus PA1 5
GCF_000021385.1	Desulfovibrio vulgaris str. 'Miyazaki F'
GCF_000021485.1	Acidithiobacillus ferrooxidans ATCC 23270
GCF_000021545.1	Sulfurihydrogenibium azorense Az-Fu1
GCF_000021565.1	Persephonella marina EX-H1
GCF_000021645.1	Dictyoglomus turgidum DSM 6724
GCF_000021685.1	Thermomicrobium roseum DSM 5159
GCF_000021725.1	Nautilia profundicola AmH
GCF_000021745.1	Methylocella silvestris BL2
GCF_000021805.1	Cyanothece sp. PCC 8801
GCF_000021825.1	Cyanothece sp. PCC 7424
GCF_000021865.1	Rhodobacter capsulatus SB 1003
GCF_000021885.1	Haemophilus parasuis SH0165
GCF_000021925.1	Desulfitobacterium hafniense DCB-2
GCF_000021945.1	Chloroflexus aggregans DSM 9485
GCF_000021965.1	Methanosphaerula palustris E1-9c
GCF_000021985.1	Thioalkalivibrio sulfidiphilus HL-EbGr7
GCF_000022005.1	Caulobacter crescentus NA1000
GCF_000022025.1	Pseudarthrobacter chlorophenolicus A6
GCF_000022045.1	Cyanothece sp. PCC 7425
GCF_000022065.1	[Clostridium] cellulolyticum H10
GCF_000022085.1	Methylobacterium nodulans ORS 2060
GCF_000022125.1	Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774
GCF_000022145.1	Anaeromyxobacter dehalogenans 2CP-1
GCF_000022205.1	Halorubrum lacusprofundi ATCC 49239
GCF_000022265.1	Geobacter daltonii FRC-32
GCF_000022305.1	Acidovorax ebreus TPSY
GCF_000022325.1	Caldicellulosiruptor bescii DSM 6725
GCF_000022365.1	Thermococcus gammatolerans EJ3
GCF_000022385.1	Sulfolobus islandicus L.S.2.15
GCF_000022525.1	Neorickettsia risticii str. Illinois
GCF_000022545.1	Thermococcus sibiricus MM 739
GCF_000022565.1	Acidobacterium capsulatum ATCC 51196
GCF_000022605.2	Blattabacterium sp. (Blattella germanica) str. Bge
GCF_000022725.1	Bartonella grahamii as4aup
GCF_000022885.2	Edwardsiella ictaluri 93-146
GCF_000022905.1	Corynebacterium aurimucosum ATCC 700975
GCF_000022965.1	Bifidobacterium animalis subsp. lactis DSM 10140
GCF_000023025.1	Teredinibacter turnerae T7901
GCF_000023065.1	Tolumonas auensis DSM 9187
GCF_000023105.1	Beutenbergia cavernae DSM 12333
GCF_000023125.1	Dyadobacter fermentans DSM 18053
GCF_000023145.1	Corynebacterium kroppenstedtii DSM 44385
GCF_000023205.1	Micrococcus luteus NCTC 2665
GCF_000023225.1	Desulfomicrobium baculatum DSM 4028
GCF_000023245.1	Actinosynnema mirum DSM 43827
GCF_000023265.1	Acidimicrobium ferrooxidans DSM 10331
GCF_000023285.1	Capnocytophaga ochracea DSM 7271
GCF_000023325.1	Kosmotoga olearia TBF 19.5.1
GCF_000023405.1	Brachybacterium faecium DSM 4810
GCF_000023445.1	Desulfovibrio salexigens DSM 2638
GCF_000023465.1	Zunongwangia profunda SM-A87
GCF_000023585.1	Paenibacillus sp. JDR-2
GCF_000023605.1	Pectobacterium carotovorum subsp. carotovorum PC1
GCF_000023705.1	Methylotenera mobilis JLW8
GCF_000023725.1	Flavobacteriaceae bacterium 3519-10
GCF_000023745.1	Methylovorus glucosetrophus SIP3-4
GCF_000023785.1	Hirschia baltica ATCC 49814
GCF_000023825.1	Pedobacter heparinus DSM 2366
GCF_000023845.1	Cryptobacterium curtum DSM 15641
GCF_000023865.1	Saccharomonospora viridis DSM 43017
GCF_000023885.1	Slackia heliotrinireducens DSM 20476
GCF_000023905.1	Leptotrichia buccalis C-1013-b
GCF_000023925.1	Kytococcus sedentarius DSM 20547
GCF_000023945.1	Halorhabdus utahensis DSM 12940
GCF_000023965.1	Halomicrobium mukohataei DSM 12286
GCF_000023985.1	Methanocaldococcus fervens AG86
GCF_000024005.1	Chitinophaga pinensis DSM 2588
GCF_000024025.1	Catenulispora acidiphila DSM 44928
GCF_000024065.1	Jonesia denitrificans DSM 20603
GCF_000024085.1	Kangiella koreensis DSM 16069
GCF_000024105.1	Anaerococcus prevotii DSM 20548
GCF_000024125.1	Robiginitalea biformata HTCC2501
GCF_000024165.1	Candidatus Accumulibacter phosphatis clade IIA str. UW-1
GCF_000024185.1	Methanobrevibacter ruminantium M1
GCF_000024205.1	Desulfotomaculum acetoxidans DSM 771
GCF_000024225.1	Atopobium parvulum DSM 20469
GCF_000024265.1	Eggerthella lenta DSM 2243
GCF_000024285.1	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
GCF_000024325.1	Desulfohalobium retbaense DSM 5692
GCF_000024345.1	Kribbella flavida DSM 17836
GCF_000024365.1	Nakamurella multipartita DSM 44233
GCF_000024385.1	Thermomonospora curvata DSM 43183
